recID,datetime,machineID,failure
1,2015-01-02T05:00:00Z,1,FALSE
2,2015-01-02T08:00:00Z,1,FALSE
3,2015-01-02T11:00:00Z,1,FALSE
4,2015-01-02T14:00:00Z,1,FALSE
5,2015-01-02T17:00:00Z,1,FALSE
6,2015-01-02T20:00:00Z,1,FALSE
7,2015-01-02T23:00:00Z,1,FALSE
8,2015-01-03T02:00:00Z,1,FALSE
9,2015-01-03T05:00:00Z,1,FALSE
10,2015-01-03T08:00:00Z,1,FALSE
11,2015-01-03T11:00:00Z,1,FALSE
12,2015-01-03T14:00:00Z,1,FALSE
13,2015-01-03T17:00:00Z,1,FALSE
14,2015-01-03T20:00:00Z,1,FALSE
15,2015-01-03T23:00:00Z,1,FALSE
16,2015-01-04T02:00:00Z,1,FALSE
17,2015-01-04T05:00:00Z,1,FALSE
18,2015-01-05T08:00:00Z,1,FALSE
19,2015-01-05T11:00:00Z,1,FALSE
20,2015-01-05T14:00:00Z,1,FALSE
21,2015-01-05T17:00:00Z,1,FALSE
22,2015-01-05T20:00:00Z,1,FALSE
23,2015-01-05T23:00:00Z,1,FALSE
24,2015-01-06T02:00:00Z,1,FALSE
25,2015-01-06T05:00:00Z,1,FALSE
26,2015-01-06T08:00:00Z,1,FALSE
27,2015-01-06T11:00:00Z,1,FALSE
28,2015-01-06T14:00:00Z,1,FALSE
29,2015-01-06T17:00:00Z,1,FALSE
30,2015-01-06T20:00:00Z,1,FALSE
31,2015-01-06T23:00:00Z,1,FALSE
32,2015-01-07T02:00:00Z,1,FALSE
33,2015-01-07T05:00:00Z,1,FALSE
34,2015-01-07T08:00:00Z,1,FALSE
35,2015-01-07T11:00:00Z,1,FALSE
36,2015-01-07T14:00:00Z,1,FALSE
37,2015-01-07T17:00:00Z,1,FALSE
38,2015-01-07T20:00:00Z,1,FALSE
39,2015-01-07T23:00:00Z,1,FALSE
40,2015-01-08T02:00:00Z,1,FALSE
41,2015-01-08T05:00:00Z,1,FALSE
42,2015-01-08T08:00:00Z,1,FALSE
43,2015-01-08T11:00:00Z,1,FALSE
44,2015-01-08T14:00:00Z,1,FALSE
45,2015-01-08T17:00:00Z,1,FALSE
46,2015-01-08T20:00:00Z,1,FALSE
47,2015-01-08T23:00:00Z,1,FALSE
48,2015-01-09T02:00:00Z,1,FALSE
49,2015-01-09T05:00:00Z,1,FALSE
50,2015-01-09T08:00:00Z,1,FALSE
51,2015-01-09T11:00:00Z,1,FALSE
52,2015-01-09T14:00:00Z,1,FALSE
53,2015-01-09T17:00:00Z,1,FALSE
54,2015-01-09T20:00:00Z,1,FALSE
55,2015-01-09T23:00:00Z,1,FALSE
56,2015-01-10T02:00:00Z,1,FALSE
57,2015-01-10T05:00:00Z,1,FALSE
58,2015-01-10T08:00:00Z,1,FALSE
59,2015-01-10T11:00:00Z,1,FALSE
60,2015-01-10T14:00:00Z,1,FALSE
61,2015-01-10T17:00:00Z,1,FALSE
62,2015-01-10T20:00:00Z,1,FALSE
63,2015-01-10T23:00:00Z,1,FALSE
64,2015-01-11T02:00:00Z,1,FALSE
65,2015-01-11T05:00:00Z,1,FALSE
66,2015-01-11T08:00:00Z,1,FALSE
67,2015-01-11T11:00:00Z,1,FALSE
68,2015-01-11T14:00:00Z,1,FALSE
69,2015-01-11T17:00:00Z,1,FALSE
70,2015-01-11T20:00:00Z,1,FALSE
71,2015-01-11T23:00:00Z,1,FALSE
72,2015-01-12T02:00:00Z,1,FALSE
73,2015-01-12T05:00:00Z,1,FALSE
74,2015-01-12T08:00:00Z,1,FALSE
75,2015-01-12T11:00:00Z,1,FALSE
76,2015-01-12T14:00:00Z,1,FALSE
77,2015-01-12T17:00:00Z,1,FALSE
78,2015-01-12T20:00:00Z,1,FALSE
79,2015-01-12T23:00:00Z,1,FALSE
80,2015-01-13T02:00:00Z,1,FALSE
81,2015-01-13T05:00:00Z,1,FALSE
82,2015-01-13T08:00:00Z,1,FALSE
83,2015-01-13T11:00:00Z,1,FALSE
84,2015-01-13T14:00:00Z,1,FALSE
85,2015-01-13T17:00:00Z,1,FALSE
86,2015-01-13T20:00:00Z,1,FALSE
87,2015-01-13T23:00:00Z,1,FALSE
88,2015-01-14T02:00:00Z,1,FALSE
89,2015-01-14T05:00:00Z,1,FALSE
90,2015-01-14T08:00:00Z,1,FALSE
91,2015-01-14T11:00:00Z,1,FALSE
92,2015-01-14T14:00:00Z,1,FALSE
93,2015-01-14T17:00:00Z,1,FALSE
94,2015-01-14T20:00:00Z,1,FALSE
95,2015-01-14T23:00:00Z,1,FALSE
96,2015-01-15T02:00:00Z,1,FALSE
97,2015-01-15T05:00:00Z,1,FALSE
98,2015-01-15T08:00:00Z,1,FALSE
99,2015-01-15T11:00:00Z,1,FALSE
100,2015-01-15T14:00:00Z,1,FALSE
101,2015-01-15T17:00:00Z,1,FALSE
102,2015-01-15T20:00:00Z,1,FALSE
103,2015-01-15T23:00:00Z,1,FALSE
104,2015-01-16T02:00:00Z,1,FALSE
105,2015-01-16T05:00:00Z,1,FALSE
106,2015-01-16T08:00:00Z,1,FALSE
107,2015-01-16T11:00:00Z,1,FALSE
108,2015-01-16T14:00:00Z,1,FALSE
109,2015-01-16T17:00:00Z,1,FALSE
110,2015-01-16T20:00:00Z,1,FALSE
111,2015-01-16T23:00:00Z,1,FALSE
112,2015-01-17T02:00:00Z,1,FALSE
113,2015-01-17T05:00:00Z,1,FALSE
114,2015-01-17T08:00:00Z,1,FALSE
115,2015-01-17T11:00:00Z,1,FALSE
116,2015-01-17T14:00:00Z,1,FALSE
117,2015-01-17T17:00:00Z,1,FALSE
118,2015-01-17T20:00:00Z,1,FALSE
119,2015-01-17T23:00:00Z,1,FALSE
120,2015-01-18T02:00:00Z,1,FALSE
121,2015-01-18T05:00:00Z,1,FALSE
122,2015-01-18T08:00:00Z,1,FALSE
123,2015-01-18T11:00:00Z,1,FALSE
124,2015-01-18T14:00:00Z,1,FALSE
125,2015-01-18T17:00:00Z,1,FALSE
126,2015-01-18T20:00:00Z,1,FALSE
127,2015-01-18T23:00:00Z,1,FALSE
128,2015-01-19T02:00:00Z,1,FALSE
129,2015-01-19T05:00:00Z,1,FALSE
130,2015-01-19T08:00:00Z,1,FALSE
131,2015-01-19T11:00:00Z,1,FALSE
132,2015-01-19T14:00:00Z,1,FALSE
133,2015-01-19T17:00:00Z,1,FALSE
134,2015-01-19T20:00:00Z,1,FALSE
135,2015-01-19T23:00:00Z,1,FALSE
136,2015-01-20T02:00:00Z,1,FALSE
137,2015-01-20T05:00:00Z,1,FALSE
138,2015-01-20T08:00:00Z,1,FALSE
139,2015-01-20T11:00:00Z,1,FALSE
140,2015-01-20T14:00:00Z,1,FALSE
141,2015-01-20T17:00:00Z,1,FALSE
142,2015-01-20T20:00:00Z,1,FALSE
143,2015-01-20T23:00:00Z,1,FALSE
144,2015-01-21T02:00:00Z,1,FALSE
145,2015-01-21T05:00:00Z,1,FALSE
146,2015-01-21T08:00:00Z,1,FALSE
147,2015-01-21T11:00:00Z,1,FALSE
148,2015-01-21T14:00:00Z,1,FALSE
149,2015-01-21T17:00:00Z,1,FALSE
150,2015-01-21T20:00:00Z,1,FALSE
151,2015-01-21T23:00:00Z,1,FALSE
152,2015-01-22T02:00:00Z,1,FALSE
153,2015-01-22T05:00:00Z,1,FALSE
154,2015-01-22T08:00:00Z,1,FALSE
155,2015-01-22T11:00:00Z,1,FALSE
156,2015-01-22T14:00:00Z,1,FALSE
157,2015-01-22T17:00:00Z,1,FALSE
158,2015-01-22T20:00:00Z,1,FALSE
159,2015-01-22T23:00:00Z,1,FALSE
160,2015-01-23T02:00:00Z,1,FALSE
161,2015-01-23T05:00:00Z,1,FALSE
162,2015-01-23T08:00:00Z,1,FALSE
163,2015-01-23T11:00:00Z,1,FALSE
